
DECIMAL       HEXADECIMAL     DESCRIPTION
14574176      0xDE6260        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/annotation.py
14579504      0xDE7730        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/decorator.py
14587296      0xDE95A0        Unix path: /usr/lib/python3.10/pydoc_data/__init__.py
14589024      0xDE9C60        Unix path: /usr/lib/python3.10/pydoc_data/topics.py
14636544      0xDF5600        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/conversion.py
14643312      0xDF7070        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/helpers.cpython-310.pyc
14654928      0xDF9DD0        Unix path: /usr/lib/python3.10/pydoc_data
14725376      0xE0B100        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/strings.cpython-310.pyc
14745888      0xE10120        Unix path: /usr/lib/python3.10/filecmp.py
14768528      0xE15990        Unix path: /usr/lib/python3.10/__pycache__/filecmp.cpython-310.pyc
14788000      0xE1A5A0        Unix path: /usr/local/bin
14799584      0xE1D2E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/errors.py
14800352      0xE1D5E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/references.py
14801248      0xE1D960        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/errors.py
14801760      0xE1DB60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/stdlib.py
14803424      0xE1E1E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/flask.py
14805088      0xE1E860        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/django.py
14805472      0xE1E9E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/pytest.py
14807008      0xE1EFE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/ptutils.py
14808672      0xE1F660        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/magics.py
14809568      0xE1F9E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/magics.py
14810336      0xE1FCE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/pt_inputhooks
14811232      0xE20060        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/prompts.py
14811616      0xE201E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/prompts.py
14812512      0xE20560        Unix path: /usr/lib/python3.10/email/__pycache__/feedparser.cpython-310.pyc
14813024      0xE20760        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/auto.py
14813536      0xE20960        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/basic.py
14814816      0xE20E60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/magics/code.py
14856016      0xE2AF50        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/project.cpython-310.pyc
14863072      0xE2CAE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/errors.cpython-310.pyc
14863648      0xE2CD20        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/refactoring/__init__.py
14887425      0xE32A01        Ubiquiti firmware header, third party, ~CRC32: 0x7F000001, version: "ED_FILE_LIMIT"
14963216      0xE45210        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/refactoring/__init__.py
14963936      0xE454E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/namespace.py
14968544      0xE466E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/refactoring/extract.py
14972432      0xE47610        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/utils.py
15013520      0xE51690        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__pycache__/file_io.cpython-310.pyc
15018560      0xE52A40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/__pycache__/parser_utils.cpython-310.pyc
15022592      0xE53A00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/__pycache__/debug.cpython-310.pyc
15028113      0xE54F91        Unix path: /usr/lib/python3.9/os.py``
15045824      0xE594C0        Unix path: /home/gsemaj/.cache/jedi
15062672      0xE5D690        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/mixed.py
15175936      0xE79100        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/sys_path.cpython-310.pyc
15178176      0xE799C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/filters.cpython-310.pyc
15179456      0xE79EC0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/recursion.cpython-310.pyc
15182656      0xE7AB40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/analysis.cpython-310.pyc
15184736      0xE7B360        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/__pycache__/klass.cpython-310.pyc
15185056      0xE7B4A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/arguments.cpython-310.pyc
15188096      0xE7C080        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/__pycache__/function.cpython-310.pyc
15189216      0xE7C4E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__pycache__/generics.cpython-310.pyc
15189696      0xE7C6C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__pycache__/base.cpython-310.pyc
15190176      0xE7C8A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__pycache__/typing.cpython-310.pyc
15190496      0xE7C9E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__pycache__/type_var.cpython-310.pyc
15190976      0xE7CBC0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/__pycache__/_compatibility.cpython-310.pyc
15191296      0xE7CD00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess/functions.py
15191616      0xE7CE40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess/functions.py
15235344      0xE87910        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/common.py
15235680      0xE87A60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/common.py
15379728      0xEAAD10        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/__init__.py
15380448      0xEAAFE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/value.py
15382176      0xEAB6A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/flow_analysis.py
15387072      0xEAC9C0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/__pycache__/common.cpython-310.pyc
15422304      0xEB5360        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/analysis.py
15423840      0xEB5960        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/names.py
15424736      0xEB5CE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/names.py
15426272      0xEB62E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/docstrings.py
15427040      0xEB65E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/lazy_value.py
15430496      0xEB7360        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/module.py
15430752      0xEB7460        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/module.py
15435360      0xEB8660        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/parser_cache.py
15437280      0xEB8DE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/_compatibility.py
15656096      0xEEE4A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/access.py
15656816      0xEEE770        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/getattr_static.py
15675040      0xEF2EA0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/__pycache__/getattr_static.cpython-310.pyc
15773520      0xF0AF50        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled/subprocess/__pycache__/__init__.cpython-310.pyc
15790336      0xF0F100        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/typeshed.py
15792640      0xF0FA00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/__init__.py
15793648      0xF0FDF0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/gradual/typing.py
15797824      0xF10E40        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/instance.py
15863200      0xF20DA0        Unix path: /usr/lib/python3.10/__pycache__/zipfile.cpython-310.pyc
15946400      0xF352A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/iterable.py
15948416      0xF35A80        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/dynamic_arrays.py
16012935      0xF45687        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
16013824      0xF45A00        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/value/__pycache__/dynamic_arrays.cpython-310.pyc
16079056      0xF558D0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/__pycache__/__init__.cpython-310.pyc
16081216      0xF56140        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__pycache__/tree.cpython-310.pyc
16081792      0xF56380        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__pycache__/utils.cpython-310.pyc
16094023      0xF59347        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
16307168      0xF8D3E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso
16308960      0xF8DAE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/utils.py
16310752      0xF8E1E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/pgen2
16311760      0xF8E5D0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python
16315120      0xF8F2F0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/cache.py
16536224      0xFC52A0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/token.cpython-310.pyc
16546016      0xFC78E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__pycache__/grammar.cpython-310.pyc
16548608      0xFC8300        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__pycache__/cache.cpython-310.pyc
16588480      0xFD1EC0        Unix path: /usr/lib/python3.10/difflib.py
16656384      0xFE2800        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/tree.cpython-310.pyc
16734432      0xFF58E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/pep8.py
16734688      0xFF59E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/prefix.py
16735712      0xFF5DE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/normalizer.py
16736480      0xFF60E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/pep8.py
16738144      0xFF6760        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/normalizer.py
16739424      0xFF6C60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/parser_utils.py
16739808      0xFF6DE0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/file_io.py
16740704      0xFF7160        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/classes.py
16740960      0xFF7260        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__init__.py
16742240      0xFF7760        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/imports.py
16742368      0xFF77E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__init__.py
16742752      0xFF7960        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/cache.py
16744032      0xFF7E60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/param.py
16745184      0xFF82E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/helpers.py
16745696      0xFF84E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/base_value.py
16746336      0xFF8760        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/utils.py
16746976      0xFF89E0        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/compiled
16747360      0xFF8B60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/utils.py
16748384      0xFF8F60        Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/analysis.py
16791712      0x10038A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/debug.py
16792496      0x1003BB0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/cache.py
16794624      0x1004400       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference
16880288      0x10192A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/pep8.cpython-310.pyc
17202624      0x1067DC0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/__pycache__/ansi_escape_sequences.cpython-310.pyc
17294376      0x107E428       ESP Image (ESP32): segment count: 5, flash mode: QUIO, flash speed: 40MHz, flash size: 1MB, entry address: 0x0, hash: none
17388480      0x10953C0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/emacs_state.py
17399712      0x1097FA0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/dialogs.py
17401872      0x1098810       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/focus.py
17402592      0x1098AE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets/__init__.py
17415264      0x109BC60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/progress_bar/__pycache__/base.cpython-310.pyc
17469536      0x10A9060       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets/base.py
17477600      0x10AAFE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/patch_stdout.py
17478496      0x10AB360       Unix path: /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so
17479392      0x10AB6E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts
17480800      0x10ABC60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/ptutils.py
17485152      0x10ACD60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/guarded_eval.py
17519984      0x10B5570       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets/dialogs.py
17528480      0x10B76A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets/dialogs.py
17576288      0x10C3160       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/progress_bar/__pycache__/formatters.cpython-310.pyc
17685552      0x10DDC30       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/prompt.py
17693616      0x10DFBB0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/utils.py
17758928      0x10EFAD0       Unix path: /usr/lib/python3.10/__pycache__/uuid.cpython-310.pyc
17762064      0x10F0710       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi
17785584      0x10F62F0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/__pycache__/auto_suggest.cpython-310.pyc
17786992      0x10F6870       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/__pycache__/open_in_editor.cpython-310.pyc
17834912      0x11023A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__pycache__/auto_match.cpython-310.pyc
17841776      0x1103E70       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/terminal/shortcuts/__pycache__/__init__.cpython-310.pyc
17863872      0x11094C0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/__pycache__/guarded_eval.cpython-310.pyc
17867232      0x110A1E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/pgen2/__pycache__/__init__.cpython-310.pyc
17868352      0x110A640       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/__init__.cpython-310.pyc
17868992      0x110A8C0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/tokenize.cpython-310.pyc
17870432      0x110AE60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/parser.cpython-310.pyc
17873792      0x110BB80       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/prefix.cpython-310.pyc
17874592      0x110BEA0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__pycache__/errors.cpython-310.pyc
17878272      0x110CD00       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__pycache__/interpreter.cpython-310.pyc
17878592      0x110CE40       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/inference/__pycache__/__init__.cpython-310.pyc
18011808      0x112D6A0       Unix path: /usr/lib/python3.10/uuid.py
18094816      0x1141AE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/api/__init__.py
18096608      0x11421E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/plugins/registry.py
18096992      0x1142360       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/__init__.py
18098528      0x1142960       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/_compatibility.py
18099424      0x1142CE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/__init__.py
18100192      0x1142FE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/pgen2/grammar_parser.py
18100320      0x1143060       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/pgen2/grammar_parser.py
18100832      0x1143260       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/token.py
18101600      0x1143560       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/jedi/settings.py
18102368      0x1143860       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/token.py
18102880      0x1143A60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/diff.py
18104160      0x1143F60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/errors.py
18105952      0x1144660       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/parser.py
18106336      0x11447E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/parser.py
18106848      0x11449E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/prefix.py
18107232      0x1144B60       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/parso/python/tree.py
18145920      0x114E280       XML document, version: "1.0"
18175776      0x1155720       Unix path: /usr/lib/python3.10/xml/dom/minicompat.py
18178560      0x1156200       Unix path: /usr/lib/python3.10/xml/dom/NodeFilter.py
18178752      0x11562C0       Unix path: /usr/lib/python3.10/xml/dom/NodeFilter.py
18195888      0x115A5B0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/completion/__pycache__/word_completer.cpython-310.pyc
18279696      0x116ED10       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/formatted_text/pygments.py
18285456      0x1170390       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/completion/deduplicate.py
18322512      0x1179450       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/completion/nested.py
18371296      0x11852E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/__pycache__/base.cpython-310.pyc
18372096      0x1185600       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/__pycache__/typeahead.cpython-310.pyc
18373696      0x1185C40       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/named_commands.py
18375456      0x1186320       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/__init__.cpython-310.pyc
18376256      0x1186640       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/menus.cpython-310.pyc
18379936      0x11874A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/layout.cpython-310.pyc
18381536      0x1187AE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers/__pycache__/base.cpython-310.pyc
18382016      0x1187CC0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers/__pycache__/pygments.cpython-310.pyc
18382816      0x1187FE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/utils.cpython-310.pyc
18384896      0x1188800       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/margins.cpython-310.pyc
18385696      0x1188B20       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/screen.cpython-310.pyc
18386656      0x1188EE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/completion.py
18408464      0x118E410       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/typeahead.py
18412640      0x118F460       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/defaults.py
18416240      0x1190270       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/defaults.py
18416816      0x11904B0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/basic.py
18418256      0x1190A50       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__init__.py
18438128      0x11957F0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/__pycache__/__init__.cpython-310.pyc
18438656      0x1195A00       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/__pycache__/basic.cpython-310.pyc
18441648      0x11965B0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/__pycache__/emacs_state.cpython-310.pyc
18519136      0x11A9460       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers
18519392      0x11A9560       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/menus.py
18527584      0x11AB560       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers/base.py
18530912      0x11AC260       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/utils.py
18533600      0x11ACCE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/menus.py
18570576      0x11B5D50       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/controls.py
18572448      0x11B64A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers/__init__.py
18574464      0x11B6C80       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/lexers/pygments.py
18826576      0x11F4550       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/mouse_handlers.cpython-310.pyc
18870960      0x11FF2B0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/dimension.py
18872688      0x11FF970       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/margins.py
18872976      0x11FFA90       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/margins.py
18875424      0x1200420       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/screen.py
18997280      0x121E020       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/scrollable_pane.py
19003472      0x121F850       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/scrollable_pane.py
19033760      0x1226EA0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/scrollable_pane.cpython-310.pyc
19040448      0x12288C0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/__pycache__/mouse.cpython-310.pyc
19042880      0x1229240       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/completion.py
19048480      0x122A820       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/input/__pycache__/vt100_parser.cpython-310.pyc
19048800      0x122A960       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/__pycache__/dummy.cpython-310.pyc
19049120      0x122AAA0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/__pycache__/renderer.cpython-310.pyc
19049920      0x122ADC0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/application/__pycache__/dummy.cpython-310.pyc
19052320      0x122B720       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets/__pycache__/menus.cpython-310.pyc
19052960      0x122B9A0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/__pycache__/prompt.cpython-310.pyc
19053760      0x122BCC0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/progress_bar/formatters.py
19054080      0x122BE00       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts/progress_bar/formatters.py
19055680      0x122C440       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/auto_suggest.py
19057440      0x122CB20       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/IPython/core/__pycache__/completer.cpython-310.pyc
19062496      0x122DEE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/dummy.py
19064544      0x122E6E0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/shortcuts
19072096      0x1230460       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/layout/dummy.py
19073760      0x1230AE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/widgets
19074528      0x1230DE0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/patch_stdout.py
19112544      0x123A260       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/cpr.py
19114416      0x123A9B0       Unix path: /home/gsemaj/.local/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/mouse.py
